Avatar,Nombre,Url,Titulo,Rol,Categoria,Institucion,Unicen,Spu,Pconicet,Pscholar,Porcid,Pdblp
../assets/avatars/Marcelo-Armentano.jpg,Armentano Marcelo,http://marcelo.armentano.isistan.unicen.edu.ar/,Dr.,Investigador,Inv. Independiente,CONICET,Adj. P1M,II,http://www.conicet.gov.ar/new_scp/detalle.php?id=26995&datos_academicos=yes,https://scholar.google.com/citations?user=Cned0L4AAAAJ,http://orcid.org/0000-0002-9172-9061,https://dblp.org/pid/88/301.html
../assets/avatars/Luis-Berdun.jpg,Berdún Luis,http://www.exa.unicen.edu.ar/~lberdun/,Dr.,Investigador,Inv. Adjunto,CONICET,Asoc. DE,III,http://www.conicet.gov.ar/new_scp/detalle.php?id=41191&datos_academicos=yes,https://scholar.google.com/citations?user=dxJbRW0AAAAJ,https://orcid.org/0000-0002-8006-8691,https://dblp.org/pid/19/2875.html
../assets/avatars/Jorge-Diaz-Pace.jpg,Díaz Pace Jorge Andres,http://www.exa.unicen.edu.ar/~adiaz/,Dr.,Investigador,Inv. Principal,CONICET,Asoc. P1M,II,http://www.conicet.gov.ar/new_scp/detalle.php?id=21563&datos_academicos=yes,https://scholar.google.com/citations?user=cyGaAl8AAAAJ,,https://dblp.org/pid/90/1313.html
../assets/avatars/Daniela-Godoy.jpg,Godoy Daniela,http://www.exa.unicen.edu.ar/~dgodoy/,Dr.,Investigador,Inv. Principal,CONICET,Asoc. DE,I,http://www.conicet.gov.ar/new_scp/detalle.php?id=32081&datos_academicos=yes,https://scholar.google.com/citations?user=BRLbCLUAAAAJ,https://orcid.org/0000-0002-5185-4570,https://dblp.org/pid/69/4188.html
../assets/avatars/Matías-Hirsch.jpg,Hirsch Matias,https://scholar.google.com.ar/citations?user=8oPYZYUAAAAJ&hl=en,Dr.,Investigador,Inv. Asistente,CONICET,-,-,http://www.conicet.gov.ar/new_scp/detalle.php?id=40891&datos_academicos=yes,https://scholar.google.com.ar/citations?user=8oPYZYUAAAAJ,https://orcid.org/0000-0001-7021-3501,https://dblp.org/pid/90/9444.html
../assets/avatars/Claudia-Marcos.jpg,Marcos Claudia,http://cmarcos.sites.exa.unicen.edu.ar/,Dr.,Investigador,Inv. Independiente,CICPBA,Asoc. DE,I,,https://scholar.google.com/citations?user=o6a521UAAAAJ,https://orcid.org/0000-0002-0710-3307,https://dblp.org/pid/32/7432.html
../assets/avatars/Maria-Jimena-Martinez.png,Martínez María Jimena ,https://scholar.google.com/citations?user=AQ6zQ5EAAAAJ&hl=en,Dr.,Investigador,Inv. Asistente,CONICET,-,-,http://www.conicet.gov.ar/new_scp/detalle.php?id=38674&datos_academicos=yes,https://scholar.google.com/citations?user=AQ6zQ5EAAAAJ,https://orcid.org/0000-0002-0443-5795,https://dblp.org/pid/167/2450.html
../assets/avatars/Cristian-Mateos.jpg,Mateos Cristian,http://www.exa.unicen.edu.ar/~cmateos/,Dr.,Investigador,Inv. Independiente,CONICET,Adj. DE,II,http://www.conicet.gov.ar/new_scp/detalle.php?id=31668&datos_academicos=yes,https://scholar.google.com/citations?user=DAf6BckAAAAJ,http://orcid.org/0000-0001-5761-1898,https://dblp.org/pid/64/159.html
../assets/avatars/Ariel-Monteserin.jpg,Monteserin Ariel,http://users.exa.unicen.edu.ar/~amontese/,Dr.,Investigador,Inv. Adjunto,CONICET,Adj. P1M,II,http://www.conicet.gov.ar/new_scp/detalle.php?id=29264&datos_academicos=yes,https://scholar.google.com/citations?user=lE3O1RcAAAAJ,https://orcid.org/0000-0003-0876-2432,https://dblp.org/pid/41/7836.html
../assets/avatars/Guillermo-Rodriguez.jpg,Rodríguez Guillermo,http://users.exa.unicen.edu.ar/~grodri/,Dr.,Investigador,Inv. Adjunto,CONICET,Ay. Dip. DS,V,http://www.conicet.gov.ar/new_scp/detalle.php?id=33419&datos_academicos=yes,https://scholar.google.com/citations?user=09UNUv4AAAAJ,https://orcid.org/0000-0003-4125-3998,https://dblp.org/pid/37/3558.html
